,Rno,Name,Course,Campus,Gender
344,345,Student345,BBA,DL,F
345,346,Student346,MBA,DL,M
346,347,Student347,MTech,MB,M
347,348,Student348,BTech,CH,F
348,349,Student349,MTech,CH,M
349,350,Student350,MTech,DL,F
350,351,Student351,MBA,MB,F
351,352,Student352,MTech,KO,M
352,353,Student353,MBA,DL,F
353,354,Student354,MTech,KO,F
354,355,Student355,MBA,CH,M
355,356,Student356,BTech,MB,M
356,357,Student357,MBA,KO,F
357,358,Student358,BBA,CH,M
358,359,Student359,BTech,DL,M
359,360,Student360,BTech,CH,M
360,361,Student361,BTech,MB,F
361,362,Student362,BBA,DL,F
362,363,Student363,BTech,MB,F
363,364,Student364,BTech,DL,F
364,365,Student365,BTech,DL,M
365,366,Student366,BBA,MB,F
366,367,Student367,BTech,KO,M
367,368,Student368,BTech,DL,M
368,369,Student369,MBA,KO,F
369,370,Student370,BTech,DL,F
370,371,Student371,BBA,CH,F
371,372,Student372,MBA,CH,M
372,373,Student373,MTech,KO,M
373,374,Student374,MBA,KO,F
374,375,Student375,MBA,CH,M
375,376,Student376,MBA,CH,M
376,377,Student377,MBA,KO,M
377,378,Student378,BTech,CH,M
378,379,Student379,MBA,MB,M
379,380,Student380,BTech,DL,M
380,381,Student381,MTech,CH,M
381,382,Student382,BBA,KO,F
382,383,Student383,BTech,MB,M
383,384,Student384,BBA,KO,M
384,385,Student385,BBA,MB,F
385,386,Student386,BTech,DL,F
386,387,Student387,MBA,CH,M
387,388,Student388,MTech,CH,F
388,389,Student389,BTech,CH,F
389,390,Student390,MTech,KO,M
390,391,Student391,BTech,DL,M
391,392,Student392,BBA,MB,M
392,393,Student393,MBA,KO,F
393,394,Student394,MBA,KO,F
394,395,Student395,MBA,KO,M
395,396,Student396,MBA,DL,M
396,397,Student397,MTech,KO,F
397,398,Student398,MBA,CH,F
398,399,Student399,MBA,CH,F
399,400,Student400,MTech,CH,F
400,401,Student401,MBA,CH,M
401,402,Student402,BBA,KO,M
402,403,Student403,BBA,KO,F
403,404,Student404,MTech,CH,F
404,405,Student405,BTech,CH,M
405,406,Student406,MBA,MB,F
406,407,Student407,MBA,MB,F
407,408,Student408,MTech,MB,M
408,409,Student409,MBA,CH,F
409,410,Student410,BBA,DL,F
410,411,Student411,MBA,MB,F
411,412,Student412,MBA,KO,F
412,413,Student413,BTech,CH,F
413,414,Student414,BBA,MB,M
414,415,Student415,MBA,DL,M
415,416,Student416,MBA,DL,M
416,417,Student417,BTech,MB,M
417,418,Student418,BTech,CH,M
418,419,Student419,MTech,KO,M
419,420,Student420,MTech,DL,F
420,421,Student421,BTech,DL,M
421,422,Student422,BBA,MB,M
422,423,Student423,BBA,CH,M
423,424,Student424,MTech,KO,M
424,425,Student425,BBA,MB,M
425,426,Student426,BBA,DL,F
426,427,Student427,MTech,MB,F
427,428,Student428,BBA,CH,M
428,429,Student429,BBA,MB,F
429,430,Student430,BBA,DL,F
430,431,Student431,MBA,KO,M
431,432,Student432,MBA,KO,M
432,433,Student433,BTech,KO,F
433,434,Student434,BBA,CH,F
434,435,Student435,MBA,MB,F
435,436,Student436,BBA,DL,F
436,437,Student437,MBA,DL,F
437,438,Student438,MBA,CH,F
438,439,Student439,MTech,KO,F
439,440,Student440,BTech,DL,F
440,441,Student441,MTech,MB,F
441,442,Student442,BBA,KO,F
442,443,Student443,BTech,DL,F
443,444,Student444,MBA,DL,M
444,445,Student445,MTech,KO,F
445,446,Student446,MBA,DL,F
446,447,Student447,MBA,KO,F
447,448,Student448,MTech,CH,M
448,449,Student449,MTech,MB,F
449,450,Student450,MBA,CH,M
450,451,Student451,BTech,DL,M
451,452,Student452,BTech,KO,M
452,453,Student453,MBA,DL,M
453,454,Student454,MTech,MB,M
454,455,Student455,BTech,MB,M
455,456,Student456,MTech,CH,M
456,457,Student457,MBA,DL,F
457,458,Student458,BTech,MB,M
458,459,Student459,MTech,CH,F
459,460,Student460,BTech,CH,F
460,461,Student461,BBA,MB,M
461,462,Student462,MTech,DL,F
462,463,Student463,BTech,KO,M
463,464,Student464,MBA,DL,F
464,465,Student465,BBA,CH,M
465,466,Student466,MBA,MB,M
466,467,Student467,MBA,CH,F
467,468,Student468,BBA,MB,M
468,469,Student469,BTech,DL,M
469,470,Student470,MTech,MB,F
470,471,Student471,BTech,KO,M
471,472,Student472,BBA,KO,M
472,473,Student473,MTech,MB,M
473,474,Student474,MBA,KO,M
474,475,Student475,BBA,DL,F
475,476,Student476,BBA,CH,F
476,477,Student477,MTech,KO,F
477,478,Student478,BTech,KO,F
478,479,Student479,MTech,CH,F
479,480,Student480,BTech,KO,F
480,481,Student481,BTech,MB,F
481,482,Student482,MBA,CH,F
482,483,Student483,MBA,KO,M
483,484,Student484,MBA,MB,M
484,485,Student485,MTech,MB,F
485,486,Student486,MBA,KO,M
486,487,Student487,MTech,KO,F
487,488,Student488,MTech,KO,M
488,489,Student489,MTech,DL,F
489,490,Student490,MBA,DL,M
490,491,Student491,MBA,DL,M
491,492,Student492,MTech,MB,F
492,493,Student493,MTech,KO,F
493,494,Student494,MBA,MB,F
494,495,Student495,BBA,DL,F
495,496,Student496,BTech,DL,M
496,497,Student497,BTech,MB,M
497,498,Student498,BBA,DL,F
498,499,Student499,MTech,KO,M
499,500,Student500,BBA,CH,F
500,501,Student501,BTech,CH,F
501,502,Student502,BBA,KO,F
502,503,Student503,BBA,KO,F
503,504,Student504,BBA,DL,M
504,505,Student505,BTech,MB,M
505,506,Student506,MBA,DL,M
506,507,Student507,BTech,DL,F
507,508,Student508,MBA,CH,M
508,509,Student509,BTech,DL,M
509,510,Student510,MTech,KO,F
510,511,Student511,MBA,KO,M
511,512,Student512,MBA,MB,F
512,513,Student513,MBA,CH,F
513,514,Student514,MTech,DL,M
514,515,Student515,MTech,MB,M
515,516,Student516,BBA,KO,M
516,517,Student517,MTech,KO,F
517,518,Student518,BBA,MB,M
518,519,Student519,BBA,MB,F
519,520,Student520,BBA,CH,M
520,521,Student521,BTech,DL,F
521,522,Student522,BTech,DL,F
522,523,Student523,BTech,CH,M
523,524,Student524,MTech,DL,M
524,525,Student525,BTech,DL,M
525,526,Student526,MBA,DL,F
526,527,Student527,BTech,DL,F
527,528,Student528,MTech,MB,F
528,529,Student529,MBA,KO,F
529,530,Student530,BBA,CH,F
530,531,Student531,BTech,CH,F
531,532,Student532,MTech,CH,M
532,533,Student533,BBA,KO,F
533,534,Student534,BBA,KO,F
534,535,Student535,BTech,KO,M
535,536,Student536,MBA,CH,F
536,537,Student537,MTech,KO,F
537,538,Student538,MTech,CH,F
538,539,Student539,BBA,CH,M
539,540,Student540,MBA,CH,F
540,541,Student541,MTech,CH,F
541,542,Student542,MTech,KO,M
542,543,Student543,BTech,KO,M
543,544,Student544,MTech,KO,F
544,545,Student545,BTech,MB,M
545,546,Student546,BTech,DL,M
546,547,Student547,MTech,MB,M
547,548,Student548,BTech,CH,M
548,549,Student549,MBA,KO,M
549,550,Student550,MBA,DL,F
550,551,Student551,MTech,CH,M
551,552,Student552,MTech,DL,M
552,553,Student553,BTech,KO,F
553,554,Student554,BTech,CH,M
554,555,Student555,BBA,DL,F
555,556,Student556,MTech,CH,M
556,557,Student557,MBA,DL,F
557,558,Student558,MBA,CH,F
558,559,Student559,BTech,DL,F
559,560,Student560,BTech,KO,M
560,561,Student561,MTech,DL,F
561,562,Student562,BBA,KO,F
562,563,Student563,BBA,MB,M
563,564,Student564,MTech,CH,F
564,565,Student565,BBA,KO,F
565,566,Student566,MBA,DL,F
566,567,Student567,BBA,KO,M
567,568,Student568,BBA,KO,F
568,569,Student569,MTech,MB,F
569,570,Student570,BTech,KO,F
570,571,Student571,MBA,MB,F
571,572,Student572,MBA,DL,M
572,573,Student573,BBA,CH,F
573,574,Student574,BBA,KO,M
574,575,Student575,BTech,DL,M
575,576,Student576,MBA,DL,M
576,577,Student577,MBA,DL,F
577,578,Student578,BTech,CH,M
578,579,Student579,BTech,CH,F
579,580,Student580,BTech,DL,F
580,581,Student581,BTech,CH,M
581,582,Student582,BBA,KO,M
582,583,Student583,BBA,MB,F
583,584,Student584,MBA,MB,M
584,585,Student585,BTech,DL,M
585,586,Student586,BBA,DL,F
586,587,Student587,BTech,DL,F
587,588,Student588,MBA,MB,M
588,589,Student589,BTech,MB,M
589,590,Student590,MBA,MB,F
590,591,Student591,MTech,CH,F
591,592,Student592,BBA,MB,M
592,593,Student593,MTech,MB,M
593,594,Student594,BTech,MB,F
594,595,Student595,BBA,KO,F
595,596,Student596,BBA,CH,M
596,597,Student597,MBA,CH,F
597,598,Student598,MBA,KO,M
598,599,Student599,BTech,DL,M
599,600,Student600,MTech,DL,F
600,601,Student601,MTech,CH,M
601,602,Student602,MTech,CH,M
602,603,Student603,BTech,DL,F
603,604,Student604,BTech,MB,M
604,605,Student605,MTech,KO,F
605,606,Student606,MTech,MB,M
606,607,Student607,MTech,MB,M
607,608,Student608,BTech,MB,M
608,609,Student609,BBA,KO,F
609,610,Student610,BTech,DL,F
610,611,Student611,BBA,MB,M
611,612,Student612,BTech,DL,M
612,613,Student613,BTech,DL,M
613,614,Student614,BTech,CH,F
614,615,Student615,BBA,DL,M
615,616,Student616,MBA,KO,F
616,617,Student617,MBA,DL,M
617,618,Student618,BBA,KO,M
618,619,Student619,BTech,KO,M
619,620,Student620,MBA,DL,F
620,621,Student621,BTech,CH,M
621,622,Student622,BBA,KO,F
622,623,Student623,MBA,MB,F
623,624,Student624,BBA,DL,M
624,625,Student625,MTech,MB,F
625,626,Student626,MBA,KO,M
626,627,Student627,BTech,DL,F
627,628,Student628,MBA,KO,M
628,629,Student629,BBA,MB,F
629,630,Student630,BTech,CH,M
630,631,Student631,BBA,DL,F
631,632,Student632,BTech,DL,M
632,633,Student633,MBA,MB,F
633,634,Student634,MTech,CH,F
634,635,Student635,BBA,DL,F
635,636,Student636,BTech,CH,M
636,637,Student637,BBA,MB,F
637,638,Student638,MTech,DL,M
638,639,Student639,BTech,CH,F
639,640,Student640,BTech,DL,F
640,641,Student641,BTech,MB,F
641,642,Student642,BBA,DL,M
642,643,Student643,MTech,MB,F
643,644,Student644,MBA,KO,M
644,645,Student645,BTech,MB,M
645,646,Student646,MBA,MB,M
646,647,Student647,MBA,DL,M
647,648,Student648,BTech,DL,M
648,649,Student649,BTech,DL,F
649,650,Student650,MTech,MB,F
650,651,Student651,MBA,MB,M
651,652,Student652,BBA,MB,M
652,653,Student653,BBA,CH,M
653,654,Student654,MTech,DL,M
654,655,Student655,MTech,KO,F
655,656,Student656,MTech,CH,F
656,657,Student657,BBA,DL,F
657,658,Student658,MBA,CH,M
658,659,Student659,BBA,MB,F
659,660,Student660,BBA,KO,F
660,661,Student661,MTech,DL,F
661,662,Student662,MBA,MB,M
662,663,Student663,BBA,CH,F
663,664,Student664,BTech,DL,M
664,665,Student665,MTech,MB,M
665,666,Student666,BTech,KO,F
666,667,Student667,MTech,DL,F
667,668,Student668,BBA,DL,M
668,669,Student669,MTech,MB,M
669,670,Student670,MTech,CH,F
670,671,Student671,BTech,KO,M
671,672,Student672,MTech,MB,F
672,673,Student673,BTech,DL,F
673,674,Student674,MBA,CH,M
674,675,Student675,BTech,DL,F
675,676,Student676,BTech,MB,F
676,677,Student677,MTech,MB,F
677,678,Student678,MBA,MB,M
678,679,Student679,BTech,CH,M
679,680,Student680,BBA,DL,F
680,681,Student681,BTech,KO,M
681,682,Student682,MTech,MB,M
682,683,Student683,MBA,MB,F
683,684,Student684,MTech,MB,F
684,685,Student685,BTech,DL,F
685,686,Student686,MBA,MB,M
686,687,Student687,BBA,MB,F
687,688,Student688,BBA,CH,M
688,689,Student689,BBA,MB,F
689,690,Student690,MTech,MB,M
690,691,Student691,BBA,KO,F
691,692,Student692,MBA,CH,M
692,693,Student693,MTech,CH,F
693,694,Student694,MTech,MB,F
694,695,Student695,BBA,KO,F
695,696,Student696,BBA,MB,F
696,697,Student697,MTech,MB,F
697,698,Student698,MTech,MB,M
698,699,Student699,BTech,DL,F
699,700,Student700,BBA,MB,F
700,701,Student701,MBA,MB,M
701,702,Student702,BBA,DL,F
702,703,Student703,MTech,MB,F
703,704,Student704,BTech,KO,F
704,705,Student705,BTech,KO,M
705,706,Student706,MBA,CH,F
706,707,Student707,BTech,CH,F
707,708,Student708,MBA,KO,F
708,709,Student709,MTech,DL,M
709,710,Student710,MTech,CH,F
710,711,Student711,BBA,MB,M
711,712,Student712,MTech,DL,F
712,713,Student713,BBA,DL,M
713,714,Student714,MBA,DL,F
714,715,Student715,MTech,MB,M
715,716,Student716,BTech,KO,F
716,717,Student717,MTech,CH,F
717,718,Student718,BBA,CH,M
718,719,Student719,BTech,CH,F
719,720,Student720,MBA,CH,M
720,721,Student721,BTech,CH,M
721,722,Student722,MTech,CH,F
722,723,Student723,BTech,KO,F
723,724,Student724,BTech,KO,M
724,725,Student725,MBA,KO,F
725,726,Student726,BBA,MB,M
726,727,Student727,MTech,CH,M
727,728,Student728,MTech,MB,M
728,729,Student729,MBA,KO,M
729,730,Student730,BTech,DL,F
730,731,Student731,BBA,KO,F
731,732,Student732,BBA,MB,M
732,733,Student733,BTech,DL,M
733,734,Student734,BTech,MB,M
734,735,Student735,MBA,CH,M
735,736,Student736,MBA,DL,F
736,737,Student737,BBA,CH,M
737,738,Student738,BTech,KO,F
738,739,Student739,BBA,KO,F
739,740,Student740,MBA,MB,M
740,741,Student741,BBA,DL,F
741,742,Student742,MBA,KO,M
742,743,Student743,MTech,MB,M
743,744,Student744,MBA,KO,F
744,745,Student745,MBA,MB,M
745,746,Student746,BBA,CH,M
746,747,Student747,BTech,KO,M
747,748,Student748,BBA,DL,M
748,749,Student749,MTech,CH,F
749,750,Student750,BBA,CH,F
750,751,Student751,BBA,KO,M
751,752,Student752,MBA,KO,F
752,753,Student753,MTech,MB,M
753,754,Student754,BBA,MB,F
754,755,Student755,MTech,KO,M
755,756,Student756,BBA,KO,F
756,757,Student757,MBA,KO,F
757,758,Student758,BBA,CH,M
758,759,Student759,MBA,CH,F
759,760,Student760,MTech,CH,F
760,761,Student761,MTech,MB,F
761,762,Student762,BTech,DL,M
762,763,Student763,BTech,CH,F
763,764,Student764,MBA,KO,F
764,765,Student765,BTech,KO,F
765,766,Student766,MBA,KO,F
766,767,Student767,BBA,MB,M
767,768,Student768,MBA,KO,M
768,769,Student769,MTech,DL,M
769,770,Student770,BTech,MB,M
770,771,Student771,BTech,KO,M
771,772,Student772,MTech,CH,F
772,773,Student773,MTech,CH,M
773,774,Student774,MBA,MB,M
774,775,Student775,BBA,MB,M
775,776,Student776,BTech,DL,F
776,777,Student777,BTech,KO,F
777,778,Student778,MTech,CH,F
778,779,Student779,MTech,DL,M
779,780,Student780,BBA,MB,M
780,781,Student781,MBA,KO,F
781,782,Student782,MBA,CH,F
782,783,Student783,MBA,MB,M
783,784,Student784,MBA,MB,M
784,785,Student785,MBA,DL,M
785,786,Student786,BTech,MB,M
786,787,Student787,MTech,CH,M
787,788,Student788,BBA,DL,F
788,789,Student789,BTech,CH,M
789,790,Student790,MBA,CH,M
790,791,Student791,BBA,DL,F
791,792,Student792,MTech,KO,F
792,793,Student793,BTech,DL,F
793,794,Student794,BBA,CH,M
794,795,Student795,BTech,DL,F
795,796,Student796,BBA,KO,M
796,797,Student797,MBA,DL,F
797,798,Student798,BTech,CH,M
798,799,Student799,BTech,MB,F
799,800,Student800,MBA,MB,M
800,801,Student801,BTech,MB,M
801,802,Student802,MTech,DL,M
802,803,Student803,BTech,MB,F
803,804,Student804,MBA,CH,F
804,805,Student805,BBA,CH,M
805,806,Student806,MBA,DL,M
806,807,Student807,MBA,DL,F
807,808,Student808,MBA,MB,M
808,809,Student809,MBA,CH,F
809,810,Student810,BTech,CH,M
810,811,Student811,BBA,DL,M
811,812,Student812,MBA,MB,F
812,813,Student813,BBA,KO,M
813,814,Student814,MBA,DL,F
814,815,Student815,MBA,CH,M
815,816,Student816,BBA,MB,F
816,817,Student817,MTech,KO,F
817,818,Student818,MTech,MB,M
818,819,Student819,MBA,KO,M
819,820,Student820,BTech,KO,M
820,821,Student821,BBA,MB,M
