,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YearSold,SaleType,SaleCondition,SalePrice,labels
11,2,5,0.0,7980.0,1,1,3,3,0,4,0,8,2,2,1,0,0,5,1992,2007,1,1,6,6,3,0.0,3,2,2,2,5,3,0,1.0,6,0.0,233.0,1168.0,1,0,1,4,1187.0,0.0,0.0,1187.0,1,0,2,0,3,1,4,6,7,0,3,0,0,2,420.0,5,5,2,483.0,21.0,0.0,0.0,0.0,0.0,3,0,4,500.0,3,2010,9,4,185000,0
12,13,5,63.0,8402.0,1,1,3,3,0,4,0,8,2,2,1,5,0,1,1998,1998,1,1,13,14,3,0.0,3,4,2,2,5,3,6,7.0,6,0.0,789.0,789.0,1,2,1,4,789.0,676.0,0.0,1465.0,0,0,2,1,3,1,4,7,7,1,2,0,0,2,393.0,5,5,2,0.0,75.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,180400,1
13,2,5,85.0,10176.0,1,1,2,3,0,4,0,8,2,2,1,0,5,1,1990,1990,1,1,6,6,3,0.0,3,4,2,2,5,1,2,3.0,6,0.0,663.0,1300.0,1,2,1,4,1341.0,0.0,0.0,1341.0,1,0,1,1,2,1,2,5,7,1,4,0,3,2,506.0,5,5,2,192.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,2,2010,9,4,171500,0
14,3,5,0.0,6820.0,1,1,3,3,0,0,0,25,2,2,3,0,8,1,1985,1985,1,1,6,6,3,0.0,2,4,2,2,5,0,2,3.0,1,1120.0,0.0,1488.0,1,4,1,4,1502.0,0.0,0.0,1502.0,1,0,1,1,1,1,2,4,7,0,3,0,2,2,528.0,5,5,2,0.0,54.0,0.0,0.0,140.0,0.0,3,4,2,0.0,6,2010,9,4,212000,0
15,13,5,47.0,53504.0,1,1,1,1,0,1,1,25,2,2,1,5,8,1,2003,2003,3,1,5,16,1,603.0,0,4,2,2,5,1,0,1.0,6,0.0,234.0,1650.0,1,0,1,4,1690.0,1589.0,0.0,3279.0,1,0,3,1,4,1,0,12,4,1,2,2,0,3,841.0,5,5,2,503.0,36.0,0.0,0.0,210.0,0.0,3,4,2,0.0,6,2010,9,4,538000,1
16,5,5,152.0,12134.0,1,1,3,0,0,4,1,8,2,2,1,1,8,5,1988,2005,1,1,14,15,3,0.0,2,4,5,2,5,0,2,3.0,6,0.0,132.0,559.0,1,2,1,4,1080.0,672.0,0.0,1752.0,0,0,2,0,4,1,4,8,7,0,3,1,2,2,492.0,5,5,2,325.0,12.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,164000,1
17,2,5,88.0,11394.0,1,1,2,3,0,0,0,25,2,2,1,0,3,6,2010,2010,3,1,13,14,4,350.0,2,4,2,0,5,0,2,3.0,6,0.0,411.0,1856.0,1,0,1,4,1856.0,0.0,0.0,1856.0,1,0,1,1,1,1,0,8,7,1,0,0,0,3,834.0,5,5,2,113.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,6,5,394432,2
18,2,5,140.0,19138.0,1,1,2,3,0,0,0,8,2,2,1,0,2,1,1951,1951,1,1,13,14,3,0.0,3,4,1,5,5,3,3,4.0,6,0.0,744.0,864.0,1,0,1,4,864.0,0.0,0.0,864.0,0,0,1,0,2,1,4,4,7,0,3,4,3,2,400.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,141000,0
19,2,5,85.0,13175.0,1,1,2,3,0,4,0,19,2,2,1,0,0,0,1978,1988,1,1,9,10,4,119.0,3,4,1,2,5,3,0,1.0,5,163.0,589.0,1542.0,1,4,1,4,2073.0,0.0,0.0,2073.0,1,0,2,0,3,1,4,7,2,2,5,0,3,2,500.0,5,5,2,349.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0.0,2,2010,9,4,210000,0
20,2,5,105.0,11751.0,1,1,3,3,0,4,0,19,2,2,1,0,0,0,1977,1977,3,1,9,10,1,480.0,3,4,1,2,5,3,1,2.0,6,0.0,1139.0,1844.0,1,0,1,4,1844.0,0.0,0.0,1844.0,0,0,2,0,3,1,4,7,7,1,5,0,2,2,546.0,5,5,2,0.0,122.0,0.0,0.0,0.0,0.0,3,2,2,0.0,1,2010,0,4,190000,2
21,9,5,85.0,10625.0,1,1,2,3,0,4,0,19,2,2,1,3,5,0,1974,1974,1,1,9,10,1,81.0,3,4,1,2,5,1,2,3.0,3,168.0,0.0,1053.0,1,4,1,4,1173.0,0.0,0.0,1173.0,1,0,2,0,3,1,2,6,7,2,5,0,2,2,528.0,5,5,2,0.0,120.0,0.0,0.0,0.0,0.0,3,2,2,0.0,1,2010,9,3,170000,0
22,13,2,0.0,7500.0,1,1,2,3,0,4,0,23,2,2,1,5,5,1,2000,2000,1,1,13,14,3,0.0,2,4,2,2,5,3,2,3.0,6,0.0,281.0,814.0,1,0,1,4,814.0,860.0,0.0,1674.0,1,0,2,1,3,1,2,7,7,0,3,0,2,2,663.0,5,5,2,0.0,96.0,0.0,0.0,0.0,0.0,3,4,2,0.0,1,2010,9,4,216000,1
23,2,5,0.0,11241.0,1,1,3,3,0,1,0,15,2,2,1,0,0,5,1970,1970,1,1,14,15,1,180.0,3,4,1,5,5,3,0,1.0,6,0.0,426.0,1004.0,1,0,1,4,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,4,5,7,1,5,0,0,2,480.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,700.0,3,2010,9,4,149000,0
24,2,5,0.0,12537.0,1,1,3,3,0,1,0,15,2,2,1,0,1,0,1971,2008,1,1,13,14,3,0.0,3,4,1,5,5,3,2,3.0,6,0.0,344.0,1078.0,1,0,1,4,1078.0,0.0,0.0,1078.0,1,0,1,1,3,1,4,6,7,1,1,0,0,2,500.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,149900,0
25,2,5,65.0,8450.0,1,1,2,3,0,4,0,15,2,2,1,0,1,0,1968,1968,1,1,13,14,3,0.0,3,4,1,5,5,3,1,2.0,6,0.0,281.0,1056.0,1,0,1,4,1056.0,0.0,0.0,1056.0,1,0,1,0,3,1,4,6,7,1,1,0,3,1,304.0,5,5,2,0.0,85.0,184.0,0.0,0.0,0.0,3,4,2,0.0,7,2010,9,4,142000,0
26,2,5,70.0,8400.0,1,1,2,3,0,0,0,15,2,2,1,0,2,1,1970,1970,1,1,9,10,3,0.0,3,4,1,5,5,3,0,1.0,5,78.0,0.0,882.0,1,4,1,4,882.0,0.0,0.0,882.0,1,0,1,0,2,1,4,4,7,0,3,0,0,2,525.0,5,5,2,240.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0.0,4,2010,9,4,126000,0
27,2,5,70.0,10500.0,1,1,2,3,0,2,0,15,2,2,1,0,2,1,1971,1971,1,1,6,6,3,0.0,3,4,1,5,5,3,0,1.0,6,0.0,432.0,864.0,1,4,1,4,864.0,0.0,0.0,864.0,0,0,1,0,3,1,4,5,7,1,4,6,1,0,0.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,4,4,115000,0
28,3,4,26.0,5858.0,1,1,3,3,0,2,0,15,2,2,3,0,5,1,1999,1999,1,1,8,8,3,0.0,2,4,2,2,5,3,2,3.0,1,0.0,354.0,1405.0,1,0,1,4,1337.0,0.0,0.0,1337.0,1,0,2,0,2,1,2,5,7,1,1,0,0,2,511.0,5,5,2,203.0,68.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,184000,2
29,14,6,21.0,1680.0,1,1,2,3,0,4,0,2,2,2,2,5,0,1,1971,1971,1,1,6,6,1,504.0,3,4,1,5,5,3,5,6.0,6,0.0,327.0,483.0,1,4,1,4,483.0,504.0,0.0,987.0,0,0,1,1,2,1,4,5,7,0,3,4,3,1,264.0,5,5,2,275.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,2,2010,0,4,96000,0
30,14,6,21.0,1680.0,1,1,2,3,0,4,0,2,2,2,2,5,1,1,1971,1971,1,1,6,6,1,492.0,3,4,1,5,5,3,5,6.0,6,0.0,225.0,525.0,1,4,1,4,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,4,6,7,0,3,4,3,1,320.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,9,4,105500,0
31,14,6,21.0,1680.0,1,1,2,3,0,4,0,2,2,2,2,5,0,1,1971,1971,1,1,6,7,1,381.0,3,4,1,5,5,3,6,7.0,6,0.0,525.0,525.0,1,4,1,4,525.0,567.0,0.0,1092.0,0,0,1,1,3,1,4,6,7,0,3,4,3,1,264.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,9,3,88000,0
32,3,5,53.0,4043.0,1,1,2,3,0,4,0,16,2,2,3,0,0,1,1977,1977,1,1,9,10,3,0.0,3,4,1,2,5,3,0,1.0,6,0.0,709.0,1069.0,1,4,1,4,1069.0,0.0,0.0,1069.0,0,0,2,0,2,1,4,4,7,1,1,0,2,2,440.0,5,5,2,0.0,55.0,0.0,0.0,165.0,0.0,3,4,2,0.0,7,2010,9,4,127500,0
33,14,5,24.0,2280.0,1,1,2,3,0,2,0,16,2,2,2,5,0,0,1975,1975,1,1,9,2,3,0.0,3,4,1,5,5,3,0,1.0,6,0.0,341.0,855.0,1,4,1,4,855.0,601.0,0.0,1456.0,0,0,2,1,3,1,2,6,7,1,5,0,3,2,440.0,5,5,2,173.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,149900,0
34,3,5,24.0,2280.0,1,1,2,3,0,2,0,16,2,2,2,0,5,0,1975,1975,1,1,9,2,3,0.0,3,4,1,2,5,3,6,7.0,6,0.0,836.0,836.0,1,0,1,4,836.0,0.0,0.0,836.0,0,0,1,0,2,1,4,4,7,0,3,0,3,1,308.0,5,5,2,0.0,30.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,120000,0
35,14,5,24.0,2280.0,1,1,2,3,0,4,0,16,2,2,2,5,0,1,1978,1978,1,1,9,2,3,0.0,3,4,1,2,5,3,0,1.0,6,0.0,544.0,855.0,1,1,1,4,855.0,601.0,0.0,1456.0,0,0,2,1,3,1,4,7,7,1,5,0,3,2,440.0,5,5,2,26.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,7,2010,9,4,146000,0
36,13,5,102.0,12858.0,1,1,3,3,0,4,0,18,2,2,1,5,3,1,2009,2010,1,1,13,14,4,162.0,0,4,2,0,5,3,6,7.0,6,0.0,1590.0,1590.0,1,0,1,4,1627.0,707.0,0.0,2334.0,0,0,2,1,3,1,0,10,7,1,2,0,0,3,751.0,5,5,2,144.0,133.0,0.0,0.0,0.0,0.0,3,4,2,0.0,1,2010,6,5,376162,1
37,2,5,98.0,11478.0,1,1,2,3,0,4,0,18,2,2,1,0,8,1,2007,2008,1,1,13,14,4,200.0,2,4,2,0,5,3,2,3.0,6,0.0,486.0,1704.0,1,0,1,4,1704.0,0.0,0.0,1704.0,1,0,2,0,3,1,2,7,7,1,2,0,2,3,772.0,5,5,2,0.0,50.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,306000,2
38,2,5,83.0,10159.0,1,1,3,3,0,4,0,18,2,2,1,0,3,1,2009,2010,3,1,13,14,4,450.0,0,4,2,0,5,0,2,3.0,6,0.0,284.0,1930.0,1,0,1,4,1940.0,0.0,0.0,1940.0,1,0,2,1,3,1,0,8,7,1,2,0,0,3,606.0,5,5,2,168.0,95.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,6,5,395192,2
39,2,5,94.0,12883.0,1,1,3,3,0,0,0,18,2,2,1,0,8,1,2009,2010,1,1,13,14,4,256.0,2,4,2,2,5,3,6,7.0,6,0.0,1544.0,1544.0,1,0,1,4,1544.0,0.0,0.0,1544.0,0,0,2,0,3,1,2,7,7,0,3,0,2,3,868.0,5,5,2,0.0,35.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,6,5,290941,2
40,2,5,95.0,12182.0,1,1,2,3,0,0,0,18,2,2,1,0,5,1,2005,2005,1,1,13,14,1,226.0,2,4,2,2,5,2,1,2.0,6,0.0,340.0,1541.0,1,0,1,4,1541.0,0.0,0.0,1541.0,0,0,2,0,3,1,2,7,7,1,2,0,2,2,532.0,5,5,2,0.0,70.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,6,5,220000,2
41,2,5,90.0,11520.0,1,1,2,3,0,4,0,18,4,2,1,0,3,1,2005,2005,3,1,13,14,1,615.0,2,4,2,0,5,3,2,3.0,6,0.0,1588.0,1698.0,1,0,1,4,1698.0,0.0,0.0,1698.0,0,0,2,0,3,1,0,7,7,1,2,0,0,3,730.0,5,5,2,192.0,74.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,275000,2
42,2,5,79.0,14122.0,1,1,3,3,0,4,0,18,2,2,1,0,8,1,2005,2006,3,1,5,5,1,240.0,2,4,2,0,5,3,2,3.0,6,0.0,1794.0,1822.0,1,0,1,4,1822.0,0.0,0.0,1822.0,0,0,2,0,3,1,0,8,7,1,2,0,2,3,678.0,5,5,2,0.0,119.0,0.0,0.0,0.0,0.0,3,4,2,0.0,2,2010,9,4,259000,2
43,2,5,70.0,10171.0,1,1,3,3,0,4,0,18,2,2,1,0,5,1,2004,2004,1,1,13,14,1,168.0,2,4,2,2,5,3,2,3.0,6,0.0,1515.0,1517.0,1,0,1,4,1535.0,0.0,0.0,1535.0,0,0,2,0,3,1,2,7,7,0,3,0,2,2,532.0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,9,4,214000,2
44,2,5,100.0,12919.0,1,1,3,3,0,4,0,18,2,2,1,0,3,1,2009,2010,3,1,13,14,4,760.0,0,4,2,0,5,1,2,3.0,6,0.0,142.0,2330.0,1,0,1,4,2364.0,0.0,0.0,2364.0,1,0,2,1,2,1,0,11,7,2,2,0,0,3,820.0,5,5,2,0.0,67.0,0.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,6,5,611657,2
45,3,5,44.0,6371.0,1,1,3,3,0,4,0,18,2,2,3,0,5,1,2009,2010,1,1,13,14,4,128.0,2,4,2,2,5,2,2,3.0,6,0.0,625.0,1358.0,1,0,1,4,1358.0,0.0,0.0,1358.0,1,0,2,0,2,1,2,6,7,1,2,0,2,2,484.0,5,5,2,192.0,35.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,6,5,224000,2
46,2,5,110.0,14300.0,1,1,2,1,0,4,1,18,2,2,1,0,3,1,2003,2004,3,1,13,14,1,1095.0,0,4,2,0,5,1,2,3.0,6,0.0,1473.0,2846.0,1,0,1,4,2696.0,0.0,0.0,2696.0,1,0,2,1,3,1,0,10,7,2,2,0,0,3,958.0,5,5,2,220.0,150.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,500000,2
47,13,5,105.0,13650.0,1,1,2,3,0,0,0,18,2,2,1,5,8,1,2002,2002,1,1,13,14,1,232.0,2,4,2,2,5,1,2,3.0,6,0.0,1093.0,1671.0,1,0,1,4,1687.0,563.0,0.0,2250.0,1,0,2,1,3,1,2,7,7,1,0,0,0,3,756.0,5,5,2,238.0,130.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,320000,2
48,3,5,61.0,7658.0,1,1,2,3,0,4,0,18,2,2,3,0,3,1,2005,2005,3,1,8,8,1,412.0,0,4,2,0,5,3,2,3.0,6,0.0,1296.0,1752.0,1,0,1,4,1752.0,0.0,0.0,1752.0,1,0,2,0,2,1,0,6,7,1,2,0,2,2,576.0,5,5,2,196.0,82.0,0.0,0.0,0.0,0.0,3,4,2,0.0,2,2010,9,4,319900,2
49,3,5,41.0,7132.0,1,1,3,3,0,4,0,18,2,2,3,0,8,1,2006,2006,1,1,13,14,4,178.0,2,4,2,2,5,2,2,3.0,6,0.0,1346.0,1370.0,1,0,1,4,1370.0,0.0,0.0,1370.0,0,0,2,0,2,1,2,6,7,1,2,0,2,2,484.0,5,5,2,120.0,49.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,205000,2
50,14,5,36.0,2628.0,1,1,2,3,0,4,0,18,2,2,2,5,5,1,2003,2003,1,1,13,16,4,106.0,2,4,2,2,5,3,6,7.0,6,0.0,764.0,764.0,1,0,1,4,764.0,862.0,0.0,1626.0,0,0,2,1,2,1,2,6,7,0,3,2,2,2,474.0,5,5,2,0.0,27.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,175500,1
51,2,5,100.0,18494.0,1,1,3,3,0,0,0,8,2,2,1,0,0,1,2005,2005,1,1,13,14,3,0.0,2,4,2,2,5,3,6,7.0,6,0.0,1324.0,1324.0,1,0,1,4,1324.0,0.0,0.0,1324.0,0,0,2,0,3,1,2,6,7,0,3,0,0,2,430.0,5,5,2,36.0,23.0,0.0,0.0,0.0,0.0,3,4,2,0.0,1,2010,9,4,199500,2
52,3,5,43.0,3203.0,1,1,2,3,0,4,0,0,2,2,3,0,5,1,2006,2006,1,1,13,14,1,14.0,2,4,2,2,5,0,2,3.0,6,0.0,1129.0,1145.0,1,0,1,4,1145.0,0.0,0.0,1145.0,0,0,2,0,2,1,2,6,7,0,3,0,0,2,437.0,5,5,2,100.0,116.0,0.0,0.0,0.0,0.0,3,4,2,0.0,1,2010,9,4,160000,2
53,3,5,43.0,3182.0,1,1,2,3,0,4,0,0,2,2,3,0,8,1,2004,2005,1,1,13,14,1,16.0,2,4,2,2,5,3,2,3.0,6,0.0,1232.0,1256.0,1,0,1,4,1269.0,0.0,0.0,1269.0,0,0,2,0,2,1,2,6,7,1,5,0,0,2,430.0,5,5,2,146.0,20.0,0.0,0.0,144.0,0.0,3,4,2,0.0,4,2010,9,4,192000,2
54,10,5,67.0,13300.0,1,1,3,3,0,4,0,8,2,2,1,4,5,1,2004,2004,1,1,13,14,3,0.0,2,4,2,2,5,3,2,3.0,6,0.0,58.0,384.0,1,0,1,4,744.0,630.0,0.0,1374.0,1,0,2,1,3,1,2,7,7,1,2,2,0,2,400.0,5,5,2,100.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,6,2010,9,4,184500,1
55,13,5,0.0,7851.0,1,1,2,3,0,4,0,8,2,2,1,5,0,1,2002,2002,1,1,13,14,3,0.0,2,4,2,2,5,3,2,3.0,6,0.0,235.0,860.0,1,0,1,4,860.0,1100.0,0.0,1960.0,1,0,2,1,4,1,2,8,7,2,5,2,0,2,440.0,5,5,2,288.0,48.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,216500,1
56,13,5,63.0,8577.0,1,1,3,3,0,4,0,8,2,2,1,5,5,1,2004,2004,1,1,13,14,3,0.0,2,4,2,2,5,3,6,7.0,6,0.0,847.0,847.0,1,0,1,4,847.0,886.0,0.0,1733.0,0,0,2,1,3,1,2,7,7,1,2,2,0,2,433.0,5,5,2,144.0,48.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,185088,1
57,10,5,0.0,7750.0,1,1,3,3,0,4,0,8,2,2,1,4,5,1,2000,2000,1,1,13,14,3,0.0,3,4,2,2,5,3,2,3.0,6,0.0,134.0,384.0,1,0,1,4,774.0,656.0,0.0,1430.0,0,0,2,1,3,1,4,7,7,1,5,2,0,2,400.0,5,5,2,180.0,0.0,0.0,0.0,0.0,0.0,3,4,2,0.0,4,2010,9,4,180000,1
58,13,5,0.0,9505.0,1,1,3,3,0,1,0,8,2,2,1,5,5,1,2001,2001,1,1,13,14,1,180.0,2,4,2,2,5,3,6,7.0,6,0.0,884.0,884.0,1,0,1,4,884.0,1151.0,0.0,2035.0,0,0,2,1,3,1,2,8,7,1,2,2,0,2,434.0,5,5,2,144.0,48.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,222500,1
59,13,5,108.0,14774.0,1,1,3,3,0,0,0,17,2,2,1,5,3,1,1999,1999,1,1,13,14,1,165.0,2,4,2,2,5,3,6,7.0,6,0.0,1393.0,1393.0,1,0,1,4,1422.0,1177.0,0.0,2599.0,0,0,2,1,4,1,2,10,7,1,5,2,0,3,779.0,5,5,2,668.0,30.0,0.0,0.0,0.0,0.0,3,4,2,0.0,5,2010,9,4,333168,1
60,13,5,60.0,17433.0,1,1,1,3,0,1,0,17,2,2,1,5,8,1,1998,1998,3,1,13,14,1,114.0,2,4,2,0,5,3,6,7.0,6,0.0,1629.0,1629.0,1,0,1,4,1645.0,830.0,0.0,2475.0,0,0,2,1,4,1,2,7,7,1,5,0,0,3,962.0,5,5,2,23.0,172.0,0.0,0.0,256.0,0.0,3,4,2,0.0,1,2010,9,4,355000,1
61,2,5,59.0,10593.0,1,1,3,3,0,4,0,17,2,2,1,0,5,1,1996,1996,3,1,13,14,1,338.0,2,4,2,2,5,3,2,3.0,6,0.0,801.0,1720.0,1,0,1,4,1720.0,0.0,0.0,1720.0,1,0,2,0,3,1,2,7,7,1,5,0,0,2,527.0,5,5,2,240.0,56.0,154.0,0.0,0.0,0.0,3,4,2,0.0,3,2010,9,4,260400,2
